"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"14/04/2026 19:15:00 - 14/04/2026 19:30:00","BZN|DK1","N/A","193.74","135.27","177.74"
"14/04/2026 19:30:00 - 14/04/2026 19:45:00","BZN|DK1","N/A","123.92","75.00","118.29"
"14/04/2026 19:45:00 - 14/04/2026 20:00:00","BZN|DK1","N/A","64.68","32.33","67.36"
"14/04/2026 20:00:00 - 14/04/2026 20:15:00","BZN|DK1","N/A","19.72","5.61","37.24"
"14/04/2026 20:15:00 - 14/04/2026 20:30:00","BZN|DK1","N/A","1.30","2.86","15.18"
"14/04/2026 20:30:00 - 14/04/2026 20:45:00","BZN|DK1","N/A","0.00","10.25","6.66"
"14/04/2026 20:45:00 - 14/04/2026 21:00:00","BZN|DK1","N/A","0.00","6.82","6.48"
"14/04/2026 21:00:00 - 14/04/2026 21:15:00","BZN|DK1","N/A","0.00","4.69","6.42"
"14/04/2026 21:15:00 - 14/04/2026 21:30:00","BZN|DK1","N/A","0.00","5.44","6.14"
"14/04/2026 21:30:00 - 14/04/2026 21:45:00","BZN|DK1","N/A","0.00","4.97","5.87"
"14/04/2026 21:45:00 - 14/04/2026 22:00:00","BZN|DK1","N/A","0.00","5.31","5.54"
"14/04/2026 22:00:00 - 14/04/2026 22:15:00","BZN|DK1","N/A","0.00","4.88","5.60"
"14/04/2026 22:15:00 - 14/04/2026 22:30:00","BZN|DK1","N/A","0.00","4.51","5.57"
"14/04/2026 22:30:00 - 14/04/2026 22:45:00","BZN|DK1","N/A","0.00","4.50","5.58"
"14/04/2026 22:45:00 - 14/04/2026 23:00:00","BZN|DK1","N/A","0.00","4.52","5.79"
"14/04/2026 23:00:00 - 14/04/2026 23:15:00","BZN|DK1","N/A","0.00","4.76","5.53"
"14/04/2026 23:15:00 - 14/04/2026 23:30:00","BZN|DK1","N/A","0.00","4.51","5.55"
"14/04/2026 23:30:00 - 14/04/2026 23:45:00","BZN|DK1","N/A","0.00","4.49","5.55"
"14/04/2026 23:45:00 - 15/04/2026 00:00:00","BZN|DK1","N/A","4.53","4.53","5.49"
