"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"14/04/2026 18:30:00 - 14/04/2026 18:45:00","BZN|DK1","Without Sequence","163.01","",""
"14/04/2026 18:45:00 - 14/04/2026 19:00:00","BZN|DK1","Without Sequence","191.80","",""
"14/04/2026 19:00:00 - 14/04/2026 19:15:00","BZN|DK1","Without Sequence","171.14","",""
"14/04/2026 19:15:00 - 14/04/2026 19:30:00","BZN|DK1","Without Sequence","193.81","",""
"14/04/2026 19:30:00 - 14/04/2026 19:45:00","BZN|DK1","Without Sequence","232.59","",""
"14/04/2026 19:45:00 - 14/04/2026 20:00:00","BZN|DK1","Without Sequence","287.95","",""
"14/04/2026 20:00:00 - 14/04/2026 20:15:00","BZN|DK1","Without Sequence","259.01","",""
"14/04/2026 20:15:00 - 14/04/2026 20:30:00","BZN|DK1","Without Sequence","253.63","",""
"14/04/2026 20:30:00 - 14/04/2026 20:45:00","BZN|DK1","Without Sequence","223.66","",""
"14/04/2026 20:45:00 - 14/04/2026 21:00:00","BZN|DK1","Without Sequence","194.45","",""
"14/04/2026 21:00:00 - 14/04/2026 21:15:00","BZN|DK1","Without Sequence","186.67","",""
"14/04/2026 21:15:00 - 14/04/2026 21:30:00","BZN|DK1","Without Sequence","171.00","",""
"14/04/2026 21:30:00 - 14/04/2026 21:45:00","BZN|DK1","Without Sequence","156.41","",""
"14/04/2026 21:45:00 - 14/04/2026 22:00:00","BZN|DK1","Without Sequence","149.71","",""
"14/04/2026 22:00:00 - 14/04/2026 22:15:00","BZN|DK1","Without Sequence","160.10","",""
"14/04/2026 22:15:00 - 14/04/2026 22:30:00","BZN|DK1","Without Sequence","151.37","",""
"14/04/2026 22:30:00 - 14/04/2026 22:45:00","BZN|DK1","Without Sequence","142.93","",""
"14/04/2026 22:45:00 - 14/04/2026 23:00:00","BZN|DK1","Without Sequence","134.47","",""
"14/04/2026 23:00:00 - 14/04/2026 23:15:00","BZN|DK1","Without Sequence","145.19","",""
"14/04/2026 23:15:00 - 14/04/2026 23:30:00","BZN|DK1","Without Sequence","137.08","",""
"14/04/2026 23:30:00 - 14/04/2026 23:45:00","BZN|DK1","Without Sequence","129.50","",""
"14/04/2026 23:45:00 - 15/04/2026 00:00:00","BZN|DK1","Without Sequence","120.01","",""
